Streaming output truncated to the last 5000 lines.
episode 1112 frame 550771 score 400.0 curiosity 0.32525450736284256
episode 1113 frame 551330 score 200.0 curiosity 0.33691492676734924
episode 1114 frame 551934 score 400.0 curiosity 0.3887862116098404
episode 1115 frame 552604 score 1000.0 curiosity 0.7411306798458099
episode 1116 frame 553219 score 200.0 curiosity 0.2806386277079582
episode 1117 frame 553873 score 600.0 curiosity 0.40806471183896065
episode 1118 frame 554574 score 1200.0 curiosity 0.7692093998193741
episode 1119 frame 555185 score 800.0 curiosity 0.7201069742441177
episode 1120 frame 555686 score 400.0 curiosity 0.23576834797859192
episode 1121 frame 556263 score 600.0 curiosity 0.6181583106517792
episode 1122 frame 556960 score 1000.0 curiosity 0.47127778083086014
episode 1123 frame 557586 score 400.0 curiosity 0.810764828696847
episode 1124 frame 558131 score 600.0 curiosity 0.4951656609773636
episode 1125 frame 558672 score 400.0 curiosity 0.19244622439146042
episode 1126 frame 559192 score 600.0 curiosity 0.40788060426712036
episode 1127 frame 559725 score 600.0 curiosity 0.41062550991773605
episode 1128 frame 560212 score 800.0 curiosity 0.2407390996813774
episode 1129 frame 560813 score 800.0 curiosity 0.41403090953826904
episode 1130 frame 561386 score 600.0 curiosity 0.45622508227825165
episode 1131 frame 561938 score 600.0 curiosity 0.26122306287288666
episode 1132 frame 562400 score 400.0 curiosity 0.3201364651322365
episode 1133 frame 562803 score 0.0 curiosity 0.06900478154420853
episode 1134 frame 563521 score 600.0 curiosity 0.46264689322561026
episode 1135 frame 564058 score 600.0 curiosity 0.3159050866961479
episode 1136 frame 564730 score 800.0 curiosity 0.3867022953927517
episode 1137 frame 565159 score 200.0 curiosity 0.12852169037796557
episode 1138 frame 565753 score 200.0 curiosity 0.239409944973886
episode 1139 frame 566425 score 400.0 curiosity 0.41139816120266914
episode 1140 frame 566804 score 0.0 curiosity 0.08405223488807678
episode 1141 frame 567423 score 400.0 curiosity 0.15432853149832226
episode 1142 frame 568094 score 600.0 curiosity 0.37420108169317245
episode 1143 frame 568590 score 400.0 curiosity 0.2597855031490326
