Streaming output truncated to the last 5000 lines.
episode 1740 frame 903809 score 1000.0 curiosity 0.4642234966158867
episode 1741 frame 904723 score 1400.0 curiosity 0.36844271421432495
episode 1742 frame 905273 score 600.0 curiosity 0.13538819178938866
episode 1743 frame 906121 score 1200.0 curiosity 0.3612414300441742
episode 1744 frame 906735 score 600.0 curiosity 0.16689028963446617
episode 1745 frame 907603 score 1000.0 curiosity 0.2570919916033745
episode 1746 frame 908194 score 400.0 curiosity 0.17878233548253775
episode 1747 frame 908822 score 600.0 curiosity 0.23208453133702278
episode 1748 frame 909456 score 600.0 curiosity 0.13988465815782547
episode 1749 frame 910162 score 800.0 curiosity 0.2820274941623211
episode 1750 frame 910853 score 1000.0 curiosity 0.2695584502071142
episode 1751 frame 911319 score 0.0 curiosity 0.1385400854051113
episode 1752 frame 912097 score 1200.0 curiosity 0.4033637158572674
episode 1753 frame 912726 score 600.0 curiosity 0.14931936003267765
episode 1754 frame 913805 score 2400.0 curiosity 0.593541145324707
episode 1755 frame 914603 score 1000.0 curiosity 0.5126105099916458
episode 1756 frame 915345 score 800.0 curiosity 0.40653330832719803
episode 1757 frame 915826 score 0.0 curiosity 0.12125867418944836
episode 1758 frame 916424 score 600.0 curiosity 0.35487985610961914
episode 1759 frame 917221 score 1400.0 curiosity 0.30127060413360596
episode 1760 frame 918194 score 1200.0 curiosity 0.4513087272644043
episode 1761 frame 918866 score 1000.0 curiosity 0.26731443405151367
episode 1762 frame 919579 score 1200.0 curiosity 0.48381779342889786
episode 1763 frame 920335 score 1200.0 curiosity 0.37633467465639114
episode 1764 frame 920809 score 400.0 curiosity 0.30765651166439056
episode 1765 frame 921584 score 1200.0 curiosity 0.40995514392852783
episode 1766 frame 922203 score 600.0 curiosity 0.11782707460224628
episode 1767 frame 922767 score 200.0 curiosity 0.2936597429215908
episode 1768 frame 923386 score 600.0 curiosity 0.10345781221985817
episode 1769 frame 924414 score 1600.0 curiosity 0.5432752892374992
episode 1770 frame 925021 score 800.0 curiosity 0.13885827735066414
episode 1771 frame 925793 score 800.0 curiosity 0.3190403953194618
episode 1772 frame 926682 score 1600.0 curiosity 0.37075706757605076
episode 1773 frame 927574 score 1800.0 curiosity 0.33304592967033386
episode 1774 frame 928086 score 200.0 curiosity 0.16947925090789795
episode 1775 frame 929110 score 1600.0 curiosity 0.5105194225907326
episode 1776 frame 929829 score 600.0 curiosity 0.3141418993473053
episode 1777 frame 930578 score 1000.0 curiosity 0.4169187918305397
episode 1778 frame 931297 score 1000.0 curiosity 0.313148383051157
episode 1779 frame 931898 score 400.0 curiosity 0.14421651512384415
episode 1780 frame 932621 score 1200.0 curiosity 0.3281860202550888
