Streaming output truncated to the last 5000 lines.
episode 918 frame 536120 score 2200.0 curiosity 0.36810941482768594
episode 919 frame 537177 score 2000.0 curiosity 0.28822180651844975
episode 920 frame 538186 score 1800.0 curiosity 0.2955811824626157
episode 921 frame 540025 score 4400.0 curiosity 0.6242876385606424
episode 922 frame 541005 score 1800.0 curiosity 0.5222421997509938
episode 923 frame 542138 score 2200.0 curiosity 0.32604848404783904
episode 924 frame 543254 score 2200.0 curiosity 0.7305288891277675
episode 925 frame 544108 score 1400.0 curiosity 0.49001521383808905
episode 926 frame 544917 score 1400.0 curiosity 0.5230871199942938
episode 927 frame 545798 score 1400.0 curiosity 0.5131287956616267
episode 928 frame 547158 score 3000.0 curiosity 0.8481004282105095
episode 929 frame 548050 score 1600.0 curiosity 0.23921349220712954
episode 930 frame 549120 score 1800.0 curiosity 0.3749791104193085
episode 931 frame 550079 score 1800.0 curiosity 0.5700452473013105
episode 932 frame 550855 score 1200.0 curiosity 0.8697173449739002
episode 933 frame 551759 score 1200.0 curiosity 0.88520936873512
episode 934 frame 552621 score 1200.0 curiosity 0.3975062801585448
episode 935 frame 553728 score 2200.0 curiosity 0.46991677160883627
episode 936 frame 554597 score 1600.0 curiosity 0.5269641400192567
episode 937 frame 555569 score 1800.0 curiosity 0.36959884113210384
episode 938 frame 556438 score 1400.0 curiosity 0.8737528845039806
episode 939 frame 557661 score 2400.0 curiosity 1.5092676196497115
episode 940 frame 558417 score 1000.0 curiosity 0.5806466141109975
episode 941 frame 559060 score 400.0 curiosity 0.4012916250215415
episode 942 frame 559807 score 1000.0 curiosity 1.354300137468718
episode 943 frame 560571 score 1000.0 curiosity 0.7911182729227826
episode 944 frame 561160 score 600.0 curiosity 0.8701238724886898
episode 945 frame 561850 score 1000.0 curiosity 0.5462545762264076
episode 946 frame 562594 score 1200.0 curiosity 0.7655764990587238
episode 947 frame 563498 score 1600.0 curiosity 0.25499568025655095
episode 948 frame 564898 score 3400.0 curiosity 0.3238442295234091
episode 949 frame 565578 score 400.0 curiosity 0.5305684876319905
episode 950 frame 566515 score 1400.0 curiosity 0.9301590599887299
episode 951 frame 567483 score 1600.0 curiosity 0.5215229243353133
episode 952 frame 568506 score 1800.0 curiosity 0.2252640923070997
episode 953 frame 569693 score 2400.0 curiosity 0.4928093005655745
episode 954 frame 570529 score 1400.0 curiosity 0.48859580901806166
episode 955 frame 571325 score 1000.0 curiosity 1.3034488760585032
episode 956 frame 572506 score 2600.0 curiosity 0.34845815491181553
episode 957 frame 573125 score 200.0 curiosity 0.9126199724835582
episode 958 frame 573938 score 1200.0 curiosity 0.4610592981830576
episode 959 frame 575015 score 2400.0 curiosity 0.4109576268103069
episode 960 frame 575918 score 1400.0 curiosity 0.8167250641646687
episode 961 frame 576850 score 1400.0 curiosity 0.7012567094927439
episode 962 frame 577664 score 1200.0 curiosity 0.527470002226994
episode 963 frame 578333 score 600.0 curiosity 0.7819209304580308
episode 964 frame 579569 score 2600.0 curiosity 0.3227362829847049
episode 965 frame 580475 score 1200.0 curiosity 0.3374468216416806
episode 966 frame 582187 score 4200.0 curiosity 0.4931484228628272
episode 967 frame 582864 score 1000.0 curiosity 0.3912079357480732
episode 968 frame 583602 score 1200.0 curiosity 0.7378973539154964
episode 969 frame 584532 score 1600.0 curiosity 0.5469489027864398
episode 970 frame 585463 score 1600.0 curiosity 0.4564468897418273
episode 971 frame 586406 score 1600.0 curiosity 0.511090444938617
episode 972 frame 587223 score 1200.0 curiosity 0.6550416675466344
episode 973 frame 588165 score 1400.0 curiosity 0.9391869971375195
episode 974 frame 589259 score 1800.0 curiosity 0.4068328490640038
episode 975 frame 590060 score 1200.0 curiosity 0.3433749608619274
episode 976 frame 591192 score 2200.0 curiosity 0.28430259890724635
episode 977 frame 592218 score 1600.0 curiosity 0.3936137875426018
episode 978 frame 593652 score 3200.0 curiosity 0.41105362979494425
episode 979 frame 594655 score 2000.0 curiosity 0.4820540489246625
episode 980 frame 595458 score 800.0 curiosity 0.22857000802134933
episode 981 frame 597199 score 4000.0 curiosity 1.6899318553105724
episode 982 frame 597767 score 200.0 curiosity 0.33681944331305425
episode 983 frame 598637 score 800.0 curiosity 0.3062868567114457
episode 984 frame 599560 score 1800.0 curiosity 0.7186756713246732
episode 985 frame 600181 score 800.0 curiosity 0.5187839151129368
episode 986 frame 601170 score 1800.0 curiosity 0.31347143067543837
episode 987 frame 602370 score 2000.0 curiosity 0.7229094980707413
episode 988 frame 603625 score 2200.0 curiosity 0.7312431350718808
episode 989 frame 604650 score 2000.0 curiosity 0.4470088649332934
episode 990 frame 605523 score 1000.0 curiosity 0.30039338210616373
episode 991 frame 606606 score 2000.0 curiosity 0.4580744458432908
episode 992 frame 607841 score 2400.0 curiosity 0.2986213736945432
episode 993 frame 609216 score 2800.0 curiosity 0.5195460959176711
episode 994 frame 610433 score 2400.0 curiosity 0.7578529378483964
episode 995 frame 612465 score 4600.0 curiosity 0.38246606525121346
episode 996 frame 613033 score 200.0 curiosity 0.3191581961636877
episode 997 frame 613911 score 1200.0 curiosity 0.339728318023791
episode 998 frame 614620 score 800.0 curiosity 0.2926533704460127
episode 999 frame 615322 score 600.0 curiosity 0.2919866349784583
episode 1000 frame 616313 score 1600.0 curiosity 0.3585275286124744
episode 1001 frame 617539 score 2000.0 curiosity 0.4360651446807512
episode 1002 frame 618200 score 600.0 curiosity 0.23752489965839058
episode 1003 frame 619808 score 3600.0 curiosity 0.288288700043164
episode 1004 frame 620853 score 2000.0 curiosity 0.37753178762478745
episode 1005 frame 621878 score 2000.0 curiosity 0.7248448622894641
episode 1006 frame 622880 score 1600.0 curiosity 0.5151387692446822
episode 1007 frame 623380 score 0.0 curiosity 0.3775929263222061
episode 1008 frame 624059 score 600.0 curiosity 0.33801729007327114
episode 1009 frame 625184 score 2200.0 curiosity 0.31423156956730486
episode 1010 frame 625845 score 600.0 curiosity 0.41074847227076555
episode 1011 frame 627042 score 1800.0 curiosity 0.20345762611684398
episode 1012 frame 627736 score 1000.0 curiosity 0.48208444431459885
episode 1013 frame 628225 score 400.0 curiosity 0.06652067700825047
episode 1014 frame 629178 score 1600.0 curiosity 0.34868195137628843
episode 1015 frame 629934 score 1000.0 curiosity 0.20064858604869995
episode 1016 frame 630672 score 600.0 curiosity 0.3262024529122522
episode 1017 frame 631557 score 1400.0 curiosity 0.45591986373571436
episode 1018 frame 632242 score 600.0 curiosity 0.4739971495037522
episode 1019 frame 633761 score 3400.0 curiosity 0.48635592292005836
episode 1020 frame 634607 score 1600.0 curiosity 0.2804334582099012
episode 1021 frame 635373 score 800.0 curiosity 0.1660503465736594
episode 1022 frame 636479 score 1800.0 curiosity 0.3672971917363479
episode 1023 frame 637428 score 1400.0 curiosity 0.21373212262110436
episode 1024 frame 638919 score 3600.0 curiosity 0.7092515775943633
episode 1025 frame 640224 score 2800.0 curiosity 0.4577475111111493
episode 1026 frame 640981 score 800.0 curiosity 0.3023485884115184
episode 1027 frame 641696 score 800.0 curiosity 0.4033636553029938
episode 1028 frame 642969 score 2600.0 curiosity 0.7056680941678309
episode 1029 frame 643516 score 400.0 curiosity 0.473272903646496
episode 1030 frame 644547 score 1600.0 curiosity 0.3694230504213656
episode 1031 frame 645200 score 800.0 curiosity 0.14213326306733157
episode 1032 frame 646830 score 4000.0 curiosity 0.19702528440605122
episode 1033 frame 647759 score 1400.0 curiosity 0.4065877291868264
episode 1034 frame 648364 score 400.0 curiosity 0.5960745094386444
episode 1035 frame 649203 score 1200.0 curiosity 0.3127523889952044
episode 1036 frame 650435 score 2200.0 curiosity 0.41298419131480546
episode 1037 frame 651399 score 1600.0 curiosity 0.5614384444734732
episode 1038 frame 652678 score 3200.0 curiosity 0.35528920206815773
episode 1039 frame 653200 score 400.0 curiosity 0.1967647447735162
episode 1040 frame 654642 score 3200.0 curiosity 0.4549331917946809
episode 1041 frame 655483 score 1000.0 curiosity 0.24067942430396969
episode 1042 frame 656065 score 400.0 curiosity 0.4301230126620078
episode 1043 frame 657203 score 2200.0 curiosity 0.5951385451802431
episode 1044 frame 658152 score 1400.0 curiosity 0.3270506205513868
episode 1045 frame 658975 score 1200.0 curiosity 0.6784655089497076
episode 1046 frame 659734 score 1000.0 curiosity 0.6438989043710028
episode 1047 frame 660527 score 1000.0 curiosity 0.44565472325229616
episode 1048 frame 661489 score 2000.0 curiosity 0.2565315532991059
episode 1049 frame 662365 score 1400.0 curiosity 0.6119568620387619
episode 1050 frame 663374 score 2200.0 curiosity 0.27775919311324543
episode 1051 frame 664147 score 800.0 curiosity 0.6464992809354495
episode 1052 frame 665268 score 2200.0 curiosity 0.11984100760656165
episode 1053 frame 666575 score 2800.0 curiosity 0.35862247800627417
episode 1054 frame 667336 score 1000.0 curiosity 0.3814389749544449
episode 1055 frame 668290 score 1600.0 curiosity 0.29802947041863487
episode 1056 frame 669354 score 2000.0 curiosity 0.2057873426747643
episode 1057 frame 670554 score 2600.0 curiosity 0.1996743596936147
episode 1058 frame 671922 score 2800.0 curiosity 0.29102561879560335
episode 1059 frame 673388 score 3000.0 curiosity 0.4676453305913509
episode 1060 frame 674309 score 1200.0 curiosity 0.2093508201917839
episode 1061 frame 674728 score 0.0 curiosity 0.21417500999475292
episode 1062 frame 675773 score 1800.0 curiosity 0.42528047401517066
episode 1063 frame 676877 score 2000.0 curiosity 0.18252053230342352
episode 1064 frame 677688 score 800.0 curiosity 0.2076209514753241
episode 1065 frame 678162 score 0.0 curiosity 0.2390162757222557
episode 1066 frame 679167 score 2400.0 curiosity 0.2614809458341264
episode 1067 frame 680028 score 1200.0 curiosity 0.19662101329143522
episode 1068 frame 681154 score 2400.0 curiosity 0.12831192465260077
episode 1069 frame 682509 score 2600.0 curiosity 0.22690204047577917
episode 1070 frame 683269 score 800.0 curiosity 0.19214016770572612
episode 1071 frame 683927 score 400.0 curiosity 0.7318336359844225
episode 1072 frame 684906 score 1600.0 curiosity 0.20090850002026678
episode 1073 frame 686368 score 3600.0 curiosity 0.27128718159864856
episode 1074 frame 687198 score 1600.0 curiosity 0.14357213064616103
episode 1075 frame 687943 score 1000.0 curiosity 0.42032976447771536
episode 1076 frame 688823 score 1800.0 curiosity 0.37790309924135695
episode 1077 frame 689927 score 2400.0 curiosity 0.5528619821348375
episode 1078 frame 690742 score 1400.0 curiosity 0.4754968528015736
episode 1079 frame 691702 score 1800.0 curiosity 0.17356665199011087
episode 1080 frame 692596 score 1400.0 curiosity 0.4226953217411711
episode 1081 frame 693818 score 3000.0 curiosity 0.1463483477295081
episode 1082 frame 694657 score 800.0 curiosity 0.37768568944744507
episode 1083 frame 695662 score 1800.0 curiosity 0.1231389637661987
episode 1084 frame 696627 score 1400.0 curiosity 0.24714297026343207
episode 1085 frame 697327 score 800.0 curiosity 0.30773121442597134
episode 1086 frame 697900 score 400.0 curiosity 0.6005552874769161
episode 1087 frame 698864 score 1800.0 curiosity 0.2082480471200735
episode 1088 frame 699713 score 1000.0 curiosity 0.1919985331971753
episode 1089 frame 700447 score 800.0 curiosity 0.09922921812224614
episode 1090 frame 701704 score 2600.0 curiosity 0.3137171094581819
episode 1091 frame 702275 score 400.0 curiosity 0.20195057061651323
episode 1092 frame 703683 score 3200.0 curiosity 0.13832582295085621
episode 1093 frame 704432 score 800.0 curiosity 0.2898158329829884
episode 1094 frame 705108 score 600.0 curiosity 0.4853486882799929
episode 1095 frame 705900 score 1200.0 curiosity 0.27273671569834723
episode 1096 frame 706759 score 1200.0 curiosity 0.10133515721207867
episode 1097 frame 707363 score 400.0 curiosity 0.14139844686447028
episode 1098 frame 708286 score 1400.0 curiosity 0.09162627925555078
episode 1099 frame 708991 score 800.0 curiosity 0.4300187351469538
episode 1100 frame 709725 score 800.0 curiosity 0.31729932395528154
episode 1101 frame 710419 score 800.0 curiosity 0.35307581922439035
episode 1102 frame 711346 score 1800.0 curiosity 0.27563437406185154
episode 1103 frame 712124 score 800.0 curiosity 0.631256037273812
episode 1104 frame 713189 score 2000.0 curiosity 0.15132358918665711
episode 1105 frame 714130 score 1400.0 curiosity 0.22177149884120037
episode 1106 frame 715281 score 2200.0 curiosity 0.2591071126623734
episode 1107 frame 716262 score 2000.0 curiosity 0.43697002419108516
episode 1108 frame 717386 score 2000.0 curiosity 0.10672429293441597
episode 1109 frame 718947 score 3400.0 curiosity 0.2589452059571835
episode 1110 frame 719727 score 1000.0 curiosity 0.9935774622911704
episode 1111 frame 720329 score 400.0 curiosity 0.5233325916743783
episode 1112 frame 721245 score 1400.0 curiosity 0.264993792683453
episode 1113 frame 722179 score 1400.0 curiosity 0.25075413690302356
episode 1114 frame 722909 score 800.0 curiosity 0.413962322682652
episode 1115 frame 724279 score 2800.0 curiosity 0.13680437465836853
episode 1116 frame 725112 score 1600.0 curiosity 0.30992893267255317
episode 1117 frame 726395 score 2400.0 curiosity 0.33051536878500865
episode 1118 frame 727252 score 1400.0 curiosity 0.4040609286023595
episode 1119 frame 728112 score 1200.0 curiosity 0.3878860805592002
episode 1120 frame 729630 score 3400.0 curiosity 0.1976127858876628
episode 1121 frame 730240 score 400.0 curiosity 0.520553990533027
episode 1122 frame 731550 score 2400.0 curiosity 0.31800816654432384
episode 1123 frame 732348 score 800.0 curiosity 0.1762154336745541
episode 1124 frame 733087 score 600.0 curiosity 0.6954523679582212
episode 1125 frame 734062 score 1400.0 curiosity 0.4760119359773043
episode 1126 frame 734902 score 800.0 curiosity 0.28596905434738784
episode 1127 frame 736017 score 2200.0 curiosity 0.3606242895857921
episode 1128 frame 736939 score 1400.0 curiosity 0.45543783635333956
episode 1129 frame 737866 score 1200.0 curiosity 0.3096382038369744
episode 1130 frame 739060 score 2200.0 curiosity 1.0047762543310736
episode 1131 frame 740572 score 3400.0 curiosity 0.22534962989823154
episode 1132 frame 741151 score 400.0 curiosity 0.22107297834122644
episode 1133 frame 741864 score 800.0 curiosity 0.3994496363229926
episode 1134 frame 742640 score 800.0 curiosity 0.25326698882549564
episode 1135 frame 743553 score 1200.0 curiosity 0.22022786541182804
episode 1136 frame 744408 score 1400.0 curiosity 0.29284200198588417
episode 1137 frame 745155 score 1000.0 curiosity 0.3257848765356948
episode 1138 frame 746436 score 1600.0 curiosity 0.4789782983665019
episode 1139 frame 747208 score 800.0 curiosity 0.6971218554726116
episode 1140 frame 748089 score 1200.0 curiosity 0.45887417249603035
